country,city,latitude,longitude,temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,sunrise,sunset,rain_1h,rain_3h,timezone,cloud,description,region,population
NG,Agbabu,6.17,4.7,303.76,303.76,303.76,1010,68,1010,1009,2.24,227,1708494982,1708538025,,,3600,61,broken clouds,Ondo,11778
NG,Agbabu,6.37,4.94,305.92,305.92,305.92,1010,57,1010,1008,1.62,232,1708494934,1708537958,,,3600,63,broken clouds,Ondo,21556
NG,Emure-Ekiti,7.32,5.48,303.61,303.61,303.61,1010,57,1010,970,2.26,222,1708494848,1708537785,,,3600,68,broken clouds,Ondo,9082
NG,Idanre,7.14,5.17,304.04,304.04,304.04,1010,57,1010,974,1.81,224,1708494914,1708537868,,,3600,58,broken clouds,Ondo,9484
NG,Agbabu,6.36,4.86,305.82,305.82,305.82,1010,57,1010,1009,1.7,231,1708494953,1708537978,,,3600,60,broken clouds,Ondo,21767
NG,Ondo State,7.17,5.05,304.5,304.5,304.5,1010,57,1010,983,1.81,226,1708494944,1708537895,,,3600,49,scattered clouds,Ondo,8128
NG,Owo,7.11,5.48,304.44,304.44,304.44,1010,57,1010,984,2.1,222,1708494838,1708537795,,,3600,53,broken clouds,Ondo,6667
NG,Siluko,6.45,4.99,305.92,305.92,305.92,1010,56,1010,1004,1.53,236,1708494926,1708537943,,,3600,62,broken clouds,Ondo,19105
NG,Agbabu,6.58,4.52,306,306,306,1010,56,1010,1009,1.64,229,1708495044,1708538049,,,3600,64,broken clouds,Ondo,12209
NG,Agbabu,6.47,4.68,305.77,305.77,305.77,1010,58,1010,1008,1.55,232,1708495001,1708538016,,,3600,52,broken clouds,Ondo,17373
NG,Omuo-Ekiti,7.63,5.88,303.51,303.51,303.51,1010,56,1010,967,2.72,230,1708494766,1708537675,,,3600,83,broken clouds,Ondo,25265
NG,Agbabu,6.17,4.7,303.76,303.76,303.76,1010,68,1010,1009,2.24,227,1708494982,1708538025,,,3600,61,broken clouds,Ondo,11778
NG,Agbabu,6.47,4.55,305.42,305.42,305.42,1010,59,1010,1008,1.77,230,1708495032,1708538047,,,3600,63,broken clouds,Ondo,16807
NG,Agbabu,6.28,4.61,303.62,303.62,303.62,1010,69,1010,1009,2.14,231,1708495009,1708538042,,,3600,64,broken clouds,Ondo,18626
NG,Agbabu,6.28,4.61,303.62,303.62,303.62,1010,69,1010,1009,2.14,231,1708495009,1708538042,,,3600,64,broken clouds,Ondo,18626
NG,Ondo,6.98,4.85,304.54,304.54,304.54,1010,57,1010,985,1.62,224,1708494983,1708537952,,,3600,58,broken clouds,Ondo,8058
NG,Omuo-Ekiti,7.6,5.85,303.64,303.64,303.64,1010,57,1010,970,2.78,229,1708494772,1708537683,,,3600,79,broken clouds,Ondo,23631
NG,Agbabu,6.29,4.82,305.62,305.62,305.62,1010,58,1010,1009,1.92,228,1708494959,1708537991,,,3600,63,broken clouds,Ondo,22201
NG,Agbabu,6.29,4.82,305.62,305.62,305.62,1010,58,1010,1009,1.92,228,1708494959,1708537991,,,3600,63,broken clouds,Ondo,22201
NG,Igbara-Odo,7.46,5.07,303.51,303.51,303.51,1010,58,1010,968,1.87,230,1708494953,1708537877,,,3600,62,broken clouds,Ondo,51952
NG,Ilare,7.32,5.11,303.82,303.82,303.82,1010,57,1010,971,1.88,227,1708494937,1708537874,,,3600,59,broken clouds,Ondo,107163
NG,Ilare,7.32,5.11,303.82,303.82,303.82,1010,57,1010,971,1.88,227,1708494937,1708537874,,,3600,59,broken clouds,Ondo,107163
NG,Idanre,7.11,5.12,304.07,304.07,304.07,1010,57,1010,975,1.78,225,1708494925,1708537881,,,3600,54,broken clouds,Ondo,7152
NG,Agbabu,6.33,4.63,304.33,304.33,304.33,1010,65,1010,1009,2,231,1708495006,1708538035,,,3600,62,broken clouds,Ondo,20713
NG,Agbabu,6.45,4.9,306,306,306,1010,56,1010,1007,1.52,235,1708494947,1708537964,,,3600,57,broken clouds,Ondo,18943
NG,Agbabu,6.42,4.59,305.02,305.02,305.02,1010,62,1010,1009,1.82,231,1708495020,1708538040,,,3600,61,broken clouds,Ondo,20665
NG,Agbabu,6.11,4.79,303.81,303.81,303.81,1010,68,1010,1009,2.34,225,1708494958,1708538006,,,3600,61,broken clouds,Ondo,13286
NG,Idanre,7.17,5.16,304.11,304.11,304.11,1010,57,1010,975,1.82,224,1708494918,1708537869,,,3600,58,broken clouds,Ondo,31885
NG,Igarra,7.3,5.85,303.54,303.54,303.54,1010,57,1010,972,2.95,225,1708494758,1708537697,,,3600,81,broken clouds,Ondo,9983
NG,Owo,7.41,5.73,303.73,303.73,303.73,1010,58,1010,975,2.87,225,1708494792,1708537721,,,3600,69,broken clouds,Ondo,27118
NG,Agbabu,6.14,4.73,303.72,303.72,303.72,1010,68,1010,1010,2.3,226,1708494974,1708538019,,,3600,60,broken clouds,Ondo,10986
NG,Igarra,7.3,5.9,304.18,304.18,304.18,1010,57,1010,981,2.97,226,1708494746,1708537685,,,3600,86,overcast clouds,Ondo,10265
NG,Owo,7.27,5.82,304.21,304.21,304.21,1010,57,1010,984,2.93,225,1708494764,1708537706,,,3600,78,broken clouds,Ondo,9983
NG,Igarra,7.39,5.92,304.01,304.01,304.01,1010,56,1010,976,3.01,227,1708494746,1708537676,,,3600,88,overcast clouds,Ondo,21412
NG,Igarra,7.38,5.91,303.61,303.61,303.61,1010,57,1010,970,3,227,1708494748,1708537679,,,3600,87,overcast clouds,Ondo,19522
NG,Ifon,6.93,5.77,304.61,304.61,304.61,1010,57,1010,990,2.23,236,1708494760,1708537733,,,3600,78,broken clouds,Ondo,10418
NG,Agbabu,6.29,4.87,305.66,305.66,305.66,1010,58,1010,1008,1.84,228,1708494947,1708537979,,,3600,65,broken clouds,Ondo,22201
NG,Omuo-Ekiti,7.72,5.8,302.67,302.67,302.67,1011,57,1011,953,2.53,234,1708494790,1708537690,,,3600,72,broken clouds,Ondo,23740
NG,Omuo-Ekiti,7.72,5.8,302.67,302.67,302.67,1011,57,1011,953,2.53,234,1708494790,1708537690,,,3600,72,broken clouds,Ondo,23740
NG,Omuo-Ekiti,7.72,5.8,302.67,302.67,302.67,1011,57,1011,953,2.53,234,1708494790,1708537690,,,3600,72,broken clouds,Ondo,23740
NG,Agbabu,6.55,4.79,306.11,306.11,306.11,1010,56,1010,1008,1.38,235,1708494978,1708537986,,,3600,50,scattered clouds,Ondo,111275
